Fecha,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2023-09-11,8130.27,7860.87,7686.41,7613.41,7803.65,8249.58,8407.59,8924.35,9445.48,9797.64,10171.2,10473.1,10461.6,10564.5,10760.7,10758.8,10552.5,10211.9,11101.6,11326.9,11170.2,10239.7,9556.6,8960.13
2023-09-12,8484.93,8211.92,8014.79,7933.1,8108.06,8535.51,8701.89,9185.06,9639.6,9971.49,10322,10591.7,10535.8,10640,10853.4,10879.4,10683.1,10303.2,11221.5,11443.1,11266.5,10316.4,9651.34,9051.34
2023-09-13,8590.14,8296.71,8090.36,8006.33,8175.37,8581.56,8763.08,9251.13,9703.87,10035,10398.3,10667.3,10619.8,10720.8,10942.4,10954.9,10767.8,10417,11318.5,11545.9,11367,10404.4,9746.22,9119.75
2023-09-14,8564.03,8264.55,8065.9,7972.58,8162.68,8580.65,8747.14,9241.8,9720.9,10057.7,10406.7,10696.3,10606.4,10697.9,10912.4,10922.2,10735.9,10418.3,11334.4,11504.4,11334.2,10395.9,9753.69,9141.33
2023-09-15,8580.53,8281.18,8051.33,7967.55,8134.89,8519.68,8686.72,9200.35,9708.17,10059.2,10447.6,10691.6,10640.3,10719.1,10897.7,10888.8,10664.4,10338.1,11237.2,11383.1,11198.3,10287.6,9710.03,9141.71
2023-09-16,8711.54,8399.39,8162.93,8035.28,8049.84,8129.85,8327.31,8852.1,9373.93,9733.2,10048.8,10231.3,10169.1,10065.9,10019.4,9931.18,9802.13,9702.09,10738.8,10790.6,10558.7,9645.55,9166.87,8690.13
2023-09-17,8131.42,7843.3,7602.91,7422.63,7323.85,7236.8,7135.59,7441.66,7809.84,8159.63,8442.98,8687.64,8802.75,8809.72,8738.72,8652.63,8595.04,8612.08,9802.2,10061.3,10011.2,9292.19,8864.87,8404.64
