1,8130.2650060000,8484.9303850000,8590.1388880000,8564.0287950000,8580.5348020000,8711.5377330000,8131.4154060000
2,7860.8744550000,8211.9216640000,8296.7139310000,8264.5538880000,8281.1790210000,8399.3913560000,7843.3008380000
3,7686.4083260000,8014.7879200000,8090.3559750000,8065.9013880000,8051.3271140000,8162.9263520000,7602.9090360000
4,7613.4110050000,7933.1009860000,8006.3322280000,7972.5845450000,7967.5496790000,8035.2774360000,7422.6335120000
5,7803.6527590000,8108.0632250000,8175.3651930000,8162.6842430000,8134.8947960000,8049.8424700000,7323.8506930000
6,8249.5777500000,8535.5101890000,8581.5630420000,8580.6481270000,8519.6844080000,8129.8457490000,7236.8022710000
7,8407.5891230000,8701.8860510000,8763.0805230000,8747.1408600000,8686.7219240000,8327.3112860000,7135.5908530000
8,8924.3485280000,9185.0592370000,9251.1343130000,9241.8034260000,9200.3546000000,8852.0986550000,7441.6629000000
9,9445.4764900000,9639.5986820000,9703.8730770000,9720.8959730000,9708.1664400000,9373.9290260000,7809.8416820000
10,9797.6418920000,9971.4904890000,10034.9636640000,10057.7226780000,10059.1839530000,9733.2048840000,8159.6340880000
11,10171.2226030000,10322.0282030000,10398.2911140000,10406.7330940000,10447.5788880000,10048.7509470000,8442.9761480000
12,10473.1138000000,10591.7428860000,10667.3010450000,10696.2675350000,10691.6248740000,10231.2785070000,8687.6387130000
13,10461.5770250000,10535.7617380000,10619.7933460000,10606.3715620000,10640.3420820000,10169.0874220000,8802.7512830000
14,10564.4502700000,10640.0229170000,10720.8241760000,10697.9177060000,10719.0718840000,10065.8552930000,8809.7223880000
15,10760.6620800000,10853.4181870000,10942.3837690000,10912.3803840000,10897.7002740000,10019.4039540000,8738.7158490000
16,10758.7622630000,10879.3910240000,10954.8739850000,10922.1605310000,10888.7578690000,9931.1845530000,8652.6309290000
17,10552.5432380000,10683.0986770000,10767.7512700000,10735.8708030000,10664.4428630000,9802.1344360000,8595.0409220000
18,10211.9323130000,10303.2196710000,10417.0271630000,10418.2552450000,10338.1220920000,9702.0938640000,8612.0804800000
19,11101.5945660000,11221.5221690000,11318.5228000000,11334.3911670000,11237.2457000000,10738.7833430000,9802.2046280000
20,11326.9430680000,11443.0594220000,11545.9148910000,11504.4303290000,11383.1317970000,10790.5862920000,10061.2709980000
21,11170.2290460000,11266.5161910000,11366.9613290000,11334.2306750000,11198.2597260000,10558.7263850000,10011.1614610000
22,10239.6969700000,10316.3855330000,10404.4372470000,10395.8629190000,10287.6459240000,9645.5462800000,9292.1919910000
23,9556.6047430000,9651.3384660000,9746.2151320000,9753.6919060000,9710.0284710000,9166.8663100000,8864.8678650000
24,8960.1336990000,9051.3376200000,9119.7507460000,9141.3329350000,9141.7108320000,8690.1326950000,8404.6433580000
